,User,Original Tweet
106,streebog,Грузия не станет передавать Украине военную помощь – вице-премьер Цулукиани https://t.co/gaCzWDrogu
107,ukrainkaoxana,"RT @War2022ua: Оккупанты заняли промзону у рудника №7 в Соледаре, которую ранее удерживали ВСУ, - Мадяр о ситуации в Соледаре
#ukrainecount…"
108,satanovskiy,@Valerida65 @lazy_dmit @kmartynov Писать глупости — право каждого). Вашим внукам прийдется продолжать платить — https://t.co/jBnw5KzOf5
109,J0419N1013,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
110,ElenaManahina,"RT @War2022ua: Военнослужащий ВСУ с позывным ""Мадяр"" записал свежее видео касательно обстановки в Соледаре 
#ukrainecounteroffensive #Ukrai…"
111,ilguciema_velns,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
112,bd86bed4e35a4a5,"RT @PowerNaShary: Эта война разделила мир на людей и такое. После начала войны 24 февраля Мадина, которая родом из Казахстана, бросила рабо…"
113,ClaraZetkin20,"RT @War2022ua: Военнослужащий ВСУ с позывным ""Мадяр"" записал свежее видео касательно обстановки в Соледаре 
#ukrainecounteroffensive #Ukrai…"
114,kniga555,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
115,KHARKIV_RULIT,"RT @War2022ua: Военнослужащий ВСУ с позывным ""Мадяр"" записал свежее видео касательно обстановки в Соледаре 
#ukrainecounteroffensive #Ukrai…"
116,GudijVera,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
117,pZ3ODMv9MS6Q1gP,"RT @Dialog_UA: ""Народ, я просто устал"", - Арестович сделал новое заявление после скандала с ракетой россиян по Днепру   https://t.co/ognFbw…"
118,chiffonniere,#Ukraine 🇺🇦✊ НЕТ ВОЙНЕ https://t.co/CVMIoT2jEU
119,oreanda_news,"В мире. СМИ:  власти ФРГ могли бы перенаправить Украине танки, предназначавшиеся для других стран

  https://t.co/Z8tzRRj0Ir https://t.co/VKfTE1mJH7"
120,9655123,"@iam_a_coach @j__o__k__ Держи, малышь...

https://t.co/HTDjKpWKq6"
121,luubXxyhuhMGFmv,"RT @petrovich20095: ""Народ, я просто устал"", - Арестович сделал новое заявление после скандала с ракетой россиян по Днепру - https://t.co/R…"
122,seroy257,@ukraine_map Мечтать не вредно конечно
123,OhVey_ru,"@Anmax19675717 @bocharik @ICCT_TheHague @Ukraine Да пох что там было 100-100000 лет назад. Давай ещё эпоху динозавров вспомним. 
Во всём мире Днепр это украинский город, а всратый Крым даже дебильная Беларусь Лукашенко не признаёт российским. 

Кстати, когда РФ вернёт обратно Курилы их законным владельцам?"
124,andromeda37825,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
125,Igor_A_Rudenko,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
126,SerDer_Daniels,"15/01/22, #Соледар
По состоянию на 17:30 (киевское время) штурмовые отряды врага заняли промзону у рудника №7...
https://t.co/phBOKIKMho
#Украина #Бахмут #Ukraine #Bakhmut #Soledar #RussiaIsATerroristState #UkraineWar #UkraineRussiaWar https://t.co/OZch6nj9aF"
127,ok_ukraine,"Оккупанты заняли промзону у рудника №7 в Соледаре, которую ранее удерживали ВСУ, — Мадяр о ситуации в Соледаре.

Теперь фронт находится за пределами Соледара, добавил военный. https://t.co/izFTB3teVl"
128,altered_cat,RT @dw_russian: Ввести новые санкции против Кремля на фоне ситуации в Днепре призвал премьер-министр Бельгии Ги Верхофстадт. Среди этих мер…
129,Vest7Pedan,"RT @PowerNaShary: Эта война разделила мир на людей и такое. После начала войны 24 февраля Мадина, которая родом из Казахстана, бросила рабо…"
130,Simon20180912,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
131,AntoninaKoval1,RT @dw_russian: Ввести новые санкции против Кремля на фоне ситуации в Днепре призвал премьер-министр Бельгии Ги Верхофстадт. Среди этих мер…
132,Zydrunasz1,"RT @Dialog_UA: ""Народ, я просто устал"", - Арестович сделал новое заявление после скандала с ракетой россиян по Днепру   https://t.co/ognFbw…"
133,AKSEL_VP,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
134,LeRWc55m8xZNYhL,RT @dw_russian: Ввести новые санкции против Кремля на фоне ситуации в Днепре призвал премьер-министр Бельгии Ги Верхофстадт. Среди этих мер…
135,hxigxitdiyxigxi,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
136,Zydrunasz1,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
137,VikisWaw,"RT @Dialog_UA: ""Народ, я просто устал"", - Арестович сделал новое заявление после скандала с ракетой россиян по Днепру   https://t.co/ognFbw…"
138,sosiski_klass,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
139,RadixUa,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
140,kyivcity_net,"Турция готова настаивать на «локальном прекращении огня» в Украине
https://t.co/qQXnYOXeCR"
141,xrenwamvsem,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
142,_Best_Union_,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
143,PavlovPvo,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
144,BelnovostiBy,"Грузия отказалась предоставлять военную помощь Украине
.
✅ Подробнее: https://t.co/zgjXIulnfG https://t.co/weLCMkwV8p"
145,MyKiev_net,"Турция готова настаивать на «локальном прекращении огня» в Украине
https://t.co/8ESSZidjar"
146,umvit,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
